Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
CF Industries Holdings Inc.,CF,0.035678,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946
Citizens Financial Group Inc.,CFG,0.04891,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828
Church & Dwight Co. Inc.,CHD,0.062616,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847
C.H. Robinson Worldwide Inc.,CHRW,0.034243,C. H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905
Charter Communications Inc. Class A,CHTR,0.206841,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993
Cigna Corporation,CI,0.185921,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982
Cincinnati Financial Corporation,CINF,0.042557,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950
Colgate-Palmolive Company,CL,0.179652,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806
Clorox Company,CLX,0.055974,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913
Comerica Incorporated,CMA,0.028308,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,1849
Comcast Corporation Class A,CMCSA,0.571587,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963
CME Group Inc. Class A,CME,0.2057,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848
Chipotle Mexican Grill Inc.,CMG,0.121696,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993
Cummins Inc.,CMI,0.076698,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919
CMS Energy Corporation,CMS,0.048382,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,1886
Centene Corporation,CNC,0.124025,Centene,reports,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984
CenterPoint Energy Inc.,CNP,0.04391,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
Capital One Financial Corporation,COF,0.152209,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1994
Cooper Companies Inc.,COO,0.049526,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958
ConocoPhillips,COP,0.233913,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002
Costco Wholesale Corporation,COST,0.626626,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,909832,1976
Campbell Soup Company,CPB,0.022795,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869
Copart Inc.,CPRT,0.078322,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982
Charles River Laboratories International Inc.,CRL,0.046454,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947
