Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
Intercontinental Exchange Inc.,ICE,0.192665,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949,2000
IDEXX Laboratories Inc.,IDXX,0.132655,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983
IDEX Corporation,IEX,0.043838,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09,832101,1988
International Flavors & Fragrances Inc.,IFF,0.093646,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889)
Illumina Inc.,ILMN,0.151252,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803,1998
Incyte Corporation,INCY,0.035674,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991
IHS Markit Ltd.,INFO,0.132781,IHS Markit,reports,Industrials,Research & Consulting Services,"London, England",2017-06-02,1598014,1959
Intel Corporation,INTC,0.521546,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968
Intuit Inc.,INTU,0.441684,Intuit,reports,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983
International Paper Company,IP,0.044955,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,51434,1898
Interpublic Group of Companies Inc.,IPG,0.036087,Interpublic Group,reports,Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930)
IPG Photonics Corporation,IPGP,0.015186,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,1111928,1990
IQVIA Holdings Inc,IQV,0.130955,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982
Ingersoll Rand Inc.,IR,0.06052,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Davidson, North Carolina",2020-03-03,1699150,1859
Iron Mountain Inc.,IRM,0.0382,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951
Intuitive Surgical Inc.,ISRG,0.305367,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995
Gartner Inc.,IT,0.066619,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979
Illinois Tool Works Inc.,ITW,0.174249,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826,1912
Invesco Ltd.,IVZ,0.019175,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935
Jacobs Engineering Group Inc.,J,0.044653,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947
J.B. Hunt Transport Services Inc.,JBHT,0.041404,J. B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535,1961
Johnson Controls International plc,JCI,0.139595,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885
Jack Henry & Associates Inc.,JKHY,0.03125,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,779152,1976
Johnson & Johnson,JNJ,1.141775,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886
Juniper Networks Inc.,JNPR,0.027829,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996
JPMorgan Chase & Co.,JPM,1.176139,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871)
Kellogg Company,K,0.042205,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,55067,1906
KeyCorp,KEY,0.054471,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
Keysight Technologies Inc,KEYS,0.092344,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014
Kraft Heinz Company,KHC,0.064574,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
Kimco Realty Corporation,KIM,0.034815,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101,1958
KLA Corporation,KLAC,0.15198,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
Kimberly-Clark Corporation,KMB,0.122822,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872
Kinder Morgan Inc Class P,KMI,0.07667,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997
CarMax Inc.,KMX,0.055393,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,1170010,1993
Coca-Cola Company,KO,0.578324,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886
Kroger Co.,KR,0.07986,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883
Loews Corporation,L,0.029295,Loews Corporation,reports,Financials,Multi-line Insurance,"New York City, New York",,60086,1959
Leidos Holdings Inc.,LDOS,0.030637,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
Lennar Corporation Class A,LEN,0.075011,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954
Laboratory Corporation of America Holdings,LH,0.077208,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978
L3Harris Technologies Inc,LHX,0.102476,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,2019 (1895)
Linde plc,LIN,0.437713,Linde,reports,Materials,Industrial Gases,"Guildford, England",1992-07-01,1707925,1879
LKQ Corporation,LKQ,0.038699,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998
Eli Lilly and Company,LLY,0.540861,Eli Lilly,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876
Lockheed Martin Corporation,LMT,0.214577,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468,1995
Lincoln National Corporation,LNC,0.028659,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,59558,1905
Alliant Energy Corp,LNT,0.038698,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917
Lowe's Companies Inc.,LOW,0.439674,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959
Lam Research Corporation,LRCX,0.240632,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,707549,1980
Lumen Technologies Inc.,LUMN,0.029723,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,18926,1983 (1877)
Southwest Airlines Co.,LUV,0.060102,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01,92380,1967
Las Vegas Sands Corp.,LVS,0.029201,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988
Lamb Weston Holdings Inc.,LW,0.022112,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016 (1950)
LyondellBasell Industries NV,LYB,0.058162,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393,2007
Live Nation Entertainment Inc.,LYV,0.036338,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010
Mastercard Incorporated Class A,MA,0.756995,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966
Mid-America Apartment Communities Inc.,MAA,0.064995,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977
Marriott International Inc. Class A,MAR,0.105691,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
Masco Corporation,MAS,0.041443,Masco,reports,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929
McDonald's Corporation,MCD,0.505652,McDonald's,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940
Microchip Technology Incorporated,MCHP,0.118501,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989
McKesson Corporation,MCK,0.093496,McKesson Corporation,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833
Moody's Corporation,MCO,0.161721,Moody's,reports,Financials,Financial Exchanges & Data,"New York City, New York",,1059556,1909
Mondelez International Inc. Class A,MDLZ,0.233706,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012
Medtronic Plc,MDT,0.346316,Medtronic,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949
MetLife Inc.,MET,0.110135,MetLife,reports,Financials,Life & Health Insurance,"New York City, New York",,1099219,1868
MGM Resorts International,MGM,0.043574,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570,1986
Mohawk Industries Inc.,MHK,0.023661,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878
McCormick & Company Incorporated,MKC,0.060387,McCormick & Company,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889
MarketAxess Holdings Inc.,MKTX,0.039542,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000
Martin Marietta Materials Inc.,MLM,0.067996,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
Marsh & McLennan Companies Inc.,MMC,0.220059,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905
3M Company,MMM,0.25784,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,66740,1902
Monster Beverage Corporation,MNST,0.088116,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,865752,2012 (1935)
Altria Group Inc,MO,0.228978,Altria Group,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985
Mosaic Company,MOS,0.034036,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004 (1865 / 1909)
Marathon Petroleum Corporation,MPC,0.096927,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887)
Monolithic Power Systems Inc.,MPWR,0.052694,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997
Merck & Co. Inc.,MRK,0.498711,Merck,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
Moderna Inc.,MRNA,0.25206,Moderna,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010
Marathon Oil Corporation,MRO,0.030228,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778,1887
Morgan Stanley,MS,0.353936,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York City, New York",,895421,1935
MSCI Inc. Class A,MSCI,0.123231,MSCI,reports,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969
Microsoft Corporation,MSFT,6.20986,Microsoft,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975
Motorola Solutions Inc.,MSI,0.111822,Motorola Solutions,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011)
M&T Bank Corporation,MTB,0.048071,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
Match Group Inc.,MTCH,0.092112,Match Group,reports,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986
Mettler-Toledo International Inc.,MTD,0.092795,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945
Micron Technology Inc.,MU,0.238345,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978
Norwegian Cruise Line Holdings Ltd.,NCLH,0.019615,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011 (1966)
Nasdaq Inc.,NDAQ,0.059546,Nasdaq,reports,Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971
NextEra Energy Inc.,NEE,0.456263,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925)
Newmont Corporation,NEM,0.12109,Newmont,reports,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921
Netflix Inc.,NFLX,0.67996,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997
NiSource Inc,NI,0.027173,NiSource,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NIKE Inc. Class B,NKE,0.517535,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964
NortonLifeLock Inc.,NLOK,0.038671,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,849399,1982
Nielsen Holdings Plc,NLSN,0.018482,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York City, New York",2013-07-09,1492633,1923
Northrop Grumman Corporation,NOC,0.143679,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421,"1994 (Northrop 1939, Grumman 1930)"
ServiceNow Inc.,NOW,0.31147,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715,2003
NRG Energy Inc.,NRG,0.025642,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992
Norfolk Southern Corporation,NSC,0.177062,Norfolk Southern,reports,Industrials,Railroads,"Norfolk, Virginia",1957-03-04,702165,1881/1894 (1980)
NetApp Inc.,NTAP,0.050653,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,1002047,1992
Northern Trust Corporation,NTRS,0.061573,Northern Trust,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
Nucor Corporation,NUE,0.082106,Nucor,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940
NVIDIA Corporation,NVDA,1.791664,Nvidia,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993
NVR Inc.,NVR,0.048823,NVR,reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980
Newell Brands Inc,NWL,0.020208,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,814453,1903
News Corporation Class B,NWS,0.006729,News Corp (Class B),reports,Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (1980)
News Corporation Class A,NWSA,0.021228,News Corp (Class A),reports,Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (1980)
NXP Semiconductors NV,NXPI,0.148953,NXP,reports,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953
Realty Income Corporation,O,0.098396,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
Old Dominion Freight Line Inc.,ODFL,0.080801,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,878927,1934
Organon & Co.,OGN,0.019303,Organon & Co.,reports,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021-06-03,1821825,2021
ONEOK Inc.,OKE,0.065028,Oneok,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906
Omnicom Group Inc,OMC,0.038993,Omnicom Group,reports,Communication Services,Advertising,"New York City, New York",,29989,1986
Oracle Corporation,ORCL,0.382101,Oracle,reports,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977
O'Reilly Automotive Inc.,ORLY,0.117169,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173,1957
Otis Worldwide Corporation,OTIS,0.090682,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03,1781335,2020 (1853)
Occidental Petroleum Corporation,OXY,0.061772,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31,797468,1920
Paycom Software Inc.,PAYC,0.04967,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1590955,1998
Paychex Inc.,PAYX,0.102328,Paychex,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
People's United Financial Inc.,PBCT,0.018331,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1378946,1842
PACCAR Inc,PCAR,0.073585,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362,1905
Healthpeak Properties Inc.,PEAK,0.048526,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,765880,1985
Public Service Enterprise Group Inc,PEG,0.083632,Public Service Enterprise Group,reports,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
Penn National Gaming Inc.,PENN,0.020152,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",2021-03-22,921738,1972
PepsiCo Inc.,PEP,0.605635,PepsiCo,reports,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,77476,1898
Pfizer Inc.,PFE,0.885506,Pfizer,reports,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849
Principal Financial Group Inc.,PFG,0.043106,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
Procter & Gamble Company,PG,0.988008,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837
Progressive Corporation,PGR,0.15332,Progressive Corporation,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661,1937
Parker-Hannifin Corporation,PH,0.09873,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334,1917
PulteGroup Inc.,PHM,0.034479,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416,1956
Packaging Corporation of America,PKG,0.031637,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,75677,1959
PerkinElmer Inc.,PKI,0.061439,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791,1937
Prologis Inc.,PLD,0.307621,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,1983
Philip Morris International Inc.,PM,0.373162,Philip Morris International,reports,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329,2008 (1847)
PNC Financial Services Group Inc.,PNC,0.211182,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845
Pentair plc,PNR,0.029537,Pentair,reports,Industrials,Industrial Machinery,"Worsley, England",2012-10-01,77360,1966
Pinnacle West Capital Corporation,PNW,0.019821,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
Pool Corporation,POOL,0.055749,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841,1993
PPG Industries Inc.,PPG,0.09843,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
PPL Corporation,PPL,0.05859,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920
Prudential Financial Inc.,PRU,0.099291,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875
Public Storage,PSA,0.143946,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311,1972
Phillips 66,PSX,0.078475,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012 (1917)
PTC Inc.,PTC,0.032772,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005,1985
PVH Corp.,PVH,0.017466,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2013-02-15,78239,1881
Quanta Services Inc.,PWR,0.038675,Quanta Services,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,1997
Pioneer Natural Resources Company,PXD,0.101098,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357,1997
PayPal Holdings Inc.,PYPL,0.554926,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998
Qualcomm Inc,QCOM,0.511562,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985
Qorvo Inc.,QRVO,0.042059,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778,2015
Royal Caribbean Group,RCL,0.04139,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887,1997
Everest Re Group Ltd.,RE,0.026905,Everest Re,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973
Regency Centers Corporation,REG,0.027653,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606,1963
Regeneron Pharmaceuticals Inc.,REGN,0.163648,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988
Regions Financial Corporation,RF,0.050971,Regions Financial Corporation,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761,1971
Robert Half International Inc.,RHI,0.030645,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213,1948
Raymond James Financial Inc.,RJF,0.045383,Raymond James Financial,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005,1962
Ralph Lauren Corporation Class A,RL,0.013653,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1037038,1967
ResMed Inc.,RMD,0.093142,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
Rockwell Automation Inc.,ROK,0.10079,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903
Rollins Inc.,ROL,0.018526,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839,1948
Roper Technologies Inc.,ROP,0.127075,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,882835,1981
Ross Stores Inc.,ROST,0.097584,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732,1982
Republic Services Inc.,RSG,0.072513,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
Raytheon Technologies Corporation,RTX,0.315029,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
SBA Communications Corp. Class A,SBAC,0.10584,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1034054,1989
Starbucks Corporation,SBUX,0.328613,Starbucks,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
Charles Schwab Corporation,SCHW,0.313595,Charles Schwab,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971
Sealed Air Corporation,SEE,0.024798,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,1012100,1960
Sherwin-Williams Company,SHW,0.209115,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866
SVB Financial Group,SIVB,0.09651,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19,719739,1983
J.M. Smucker Company,SJM,0.03777,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,1897
Schlumberger NV,SLB,0.10276,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926
Snap-on Incorporated,SNA,0.028497,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,91440,1920
Synopsys Inc.,SNPS,0.136321,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16,883241,1986
Southern Company,SO,0.183424,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945
Simon Property Group Inc.,SPG,0.12406,Simon Property Group,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003
S&P Global Inc.,SPGI,0.286277,S&P Global,reports,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917
Sempra Energy,SRE,0.104575,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
STERIS Plc,STE,0.057502,Steris,reports,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1757898,1985
State Street Corporation,STT,0.085029,State Street Corporation,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
Seagate Technology Holdings PLC,STX,0.054537,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,1979
Constellation Brands Inc. Class A,STZ,0.10168,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918,1945
Stanley Black & Decker Inc.,SWK,0.074458,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,93556,1843
Skyworks Solutions Inc.,SWKS,0.063897,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127,2002
Synchrony Financial,SYF,0.062556,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003
Stryker Corporation,SYK,0.214624,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,1941
Sysco Corporation,SYY,0.094023,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
AT&T Inc.,T,0.445329,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
Molson Coors Beverage Company Class B,TAP,0.021229,Molson Coors,reports,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,"2005 (Molson 1786, Coors 1873)"
